======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  20057   373050006       نقاص مسلوب ٦ * ٤ بوصه سمارت أبيض
  20058   353093005       جلبة لصق ٦ بوصه سمارت أبيض
  20059   353095004       طبة تسليك ٦ بوصه سمارت أبيض
  20060   353095004       طبة ٦ بوصه عميه
  20061   353020018       كوع ٦ بوصه عاده قصير
  20062   353099903       غرفه تفتيش سمارت 50*50
  20063   353099914       غرفه تفتيش سمارت 60*60
  20064   353093008       قشرة سمارت رمادي 60*63
  20065   333020001       متر مواسير ٢ بوصه ٣مم سمارت أبيض
  20066   373040003       هوايه ٢ بوصه اسمارت
  20067   333020002       متر مواسير ٢ بوصه ٤مم سمارت أبيض
  20068   353020002       كوع ٢ بوصه عاده سمارت أبيض
  20069   353030001       كوع ٢ بوصه بباب سمارت أبيض
  20070   353020002       كوع ٢ بوصه مفتوح سمارت أبيض
  20071   353060003       مشترك ٢ بوصه عاده سمارت أبيض
  20072   353090001       مشترك ٢ بوصه بباب سمارت أبيض
  20073   353090001       مشترك ٢ بوصه مفتوح سمارت أبيض
  20074   373010022       بيبة ٢ * ١,٥ بوصه سمارت أبيض
  20075   373010032       بيبة ٢ * ٢ بوصه سمارت أبيض
  20076   373050001       بوش ٢ * ١,٥ سمارت أبيض
  20077   353095001       طبة تسليك ٢ بوصه سمارت ابيض
  20078   371099133       جلبة لصق ٢ بوصه سمارت أبيض
  20079   373010022       بيبة ٢ * ١,٥ 7سم اسمارت هوم
  20080   353095025       طبة ٢ بوصه
  20081   353093009       جلبة بسن ٣ بوصه داخلي
  20082   353093003       جلبة بسن ٣ بوصه خارجي
  20083   333030005       متر مواسير ٣ بوصه ٣مم سمارت ابيض
  20084   333030003       متر مواسير ٣ بوصه ٤مم سمارت ابيض
